property_type,borough,surface_covered_in_m2,price_per_m2,lat,lon,price_aprox_usd
apartment,Xochimilco,53.0,21698.11321,19.262049,-99.1138,60603.82
apartment,Miguel Hidalgo,70.0,16277.14286,19.402944,-99.199727,60030.97
apartment,Benito Juárez,75.0,13760.0,19.379525,-99.188914,54372.45
apartment,Coyoacán,70.0,16928.57143,19.346767,-99.123658,62433.48
house,Benito Juárez,450.0,12755.55556,,,302492.13
house,Gustavo A. Madero,204.0,9313.72549,19.515966,-99.15581,100104.31
apartment,Cuauhtémoc,23.0,34739.13043,19.451994,-99.128867,42096.5
apartment,Benito Juárez,55.0,23655.10909,19.384808,-99.137496,68546.74
house,Álvaro Obregón,325.0,20000.0,19.340202,-99.257774,342462.14
apartment,Miguel Hidalgo,75.0,35333.33333,19.45337,-99.181695,139619.18
house,Venustiano Carranza,52.0,9807.692308,19.455979,-99.122144,26870.1
apartment,Benito Juárez,63.0,50869.84127,19.397397,-99.155802,168849.64
apartment,Venustiano Carranza,62.0,36034.22581,19.4306069,-99.0949899,117735.94
apartment,Álvaro Obregón,97.0,32759.79381,19.341894,-99.224525,167421.83
house,Gustavo A. Madero,270.0,10181.48148,19.474582,-99.139835,144835.14
apartment,Tláhuac,50.0,14540.0,19.283388,-99.055038,38303.07
apartment,Cuauhtémoc,100.0,32000.0,19.431629,-99.162762,168596.74
apartment,Benito Juárez,235.0,34468.08511,19.3864346,-99.1594925,426861.72
apartment,Miguel Hidalgo,115.0,28921.12174,19.428324,-99.176337,175231.5
apartment,Miguel Hidalgo,60.0,61666.66667,19.4445115,-99.1895493,194986.21
apartment,Miguel Hidalgo,94.0,63297.87234,19.429392,-99.181017,313484.57
apartment,Benito Juárez,157.0,57267.51592,19.394358,-99.177444,473816.51
house,Coyoacán,150.0,12813.33333,19.358008,-99.127094,101263.42
apartment,Miguel Hidalgo,70.0,14828.57143,19.456145,-99.201167,54688.57
apartment,Tlalpan,,,19.2998307,-99.1111526,178988.63
apartment,Iztapalapa,0.0,,19.365156,-99.1138,73761.07
apartment,Iztacalco,48.0,18666.66667,19.410307,-99.065399,47207.08
apartment,Benito Juárez,110.0,16363.63636,19.400785,-99.147419,94858.16
apartment,Tlalpan,137.0,45255.47445,19.275206,-99.218292,326656.19
apartment,Miguel Hidalgo,0.0,,19.4535629028,-99.182510376,71126.75
apartment,Benito Juárez,125.0,35500.0,19.394358,-99.177444,233851.71
house,Xochimilco,142.0,22394.3662,19.2681974,-99.1307421,167582.75
house,Venustiano Carranza,312.0,6153.846154,19.444992,-99.108269,101158.04
apartment,Álvaro Obregón,97.0,32759.79381,19.341894,-99.224525,167421.83
apartment,Álvaro Obregón,90.0,15988.88889,19.334546,-99.207876,75815.85
apartment,Benito Juárez,85.0,8306.941176,19.370272,-99.149127,37201.39
house,Cuauhtémoc,557.0,14003.59066,19.417539,-99.136296,410954.57
house,Gustavo A. Madero,200.0,11500.0,19.516777,-99.160149,121178.91
apartment,Miguel Hidalgo,126.0,25396.8254,19.437841,-99.220367,168596.74
apartment,Azcapotzalco,150.0,14000.0,19.48527,-99.200287,110667.85
apartment,Coyoacán,70.0,7374.785714,19.307417,-99.125191,27198.6
house,Gustavo A. Madero,128.0,13945.3125,19.492686,-99.097877,94067.67
apartment,Benito Juárez,75.0,22791.10667,19.384808,-99.155339,90058.74
house,Iztapalapa,148.0,8412.162162,,,65610.22
house,Miguel Hidalgo,100.0,9628.2,19.397059,-99.184501,50727.6
apartment,Cuauhtémoc,75.0,57066.66667,19.409095,-99.163216,225498.15
house,Tlalpan,160.0,17875.0,19.300714,-99.12215,150683.34
house,Tlalpan,354.0,10480.22599,19.275756,-99.207832,195466.85
apartment,Cuauhtémoc,165.0,42424.24242,19.4097609,-99.1686282,368892.84
apartment,Gustavo A. Madero,51.0,25627.45098,19.473415,-99.143539,68861.23
house,Gustavo A. Madero,12.0,184166.6667,19.4669373,-99.1013994,116464.74
house,La Magdalena Contreras,235.0,36808.51064,,,455846.16
apartment,Cuauhtémoc,147.0,56802.72109,19.430132,-99.169144,439932.13
house,Coyoacán,431.0,15081.2065,19.3073525,-99.1061901,342462.14
apartment,Cuauhtémoc,89.0,11719.10112,19.44673,-99.161695,54952.0
apartment,Benito Juárez,136.0,31617.64706,19.394358,-99.177444,226605.6
house,Iztapalapa,518.0,6032.818533,19.337688,-99.059181,164645.26
apartment,Coyoacán,293.0,34129.69283,19.354509,-99.149765,526864.83
house,Gustavo A. Madero,106.0,11207.54717,19.469688,-99.085456,62606.38
apartment,Gustavo A. Madero,,,19.5010872,-99.1230477,145876.0
house,Xochimilco,263.0,14638.78327,19.28127,-99.132254,202842.96
apartment,Benito Juárez,100.0,25000.0,19.3898619,-99.1674138,131747.44
apartment,Tláhuac,60.0,10733.33333,19.302076,-99.049427,33930.09
apartment,Azcapotzalco,69.0,25652.17391,19.472155,-99.161186,93255.07
